team_name,ft_pct,season,source_updated_at
Saint Mary's,81.1,2025-2026,2026-03-17T00:00:00.000Z
Harvard,80.8,2025-2026,2026-03-17T00:00:00.000Z
Manhattan,79.6,2025-2026,2026-03-17T00:00:00.000Z
Vanderbilt,79.3,2025-2026,2026-03-17T00:00:00.000Z
Detroit Mercy,78.9,2025-2026,2026-03-17T00:00:00.000Z
Illinois,78.9,2025-2026,2026-03-17T00:00:00.000Z
Bellarmine,78.8,2025-2026,2026-03-17T00:00:00.000Z
Merrimack,78.8,2025-2026,2026-03-17T00:00:00.000Z
Boise St,78.7,2025-2026,2026-03-17T00:00:00.000Z
Delaware,78.6,2025-2026,2026-03-17T00:00:00.000Z
Georgia St,78.6,2025-2026,2026-03-17T00:00:00.000Z
Wisconsin,78.6,2025-2026,2026-03-17T00:00:00.000Z
Cal Poly,78.5,2025-2026,2026-03-17T00:00:00.000Z
Tulsa,78.3,2025-2026,2026-03-17T00:00:00.000Z
South Carolina,78.1,2025-2026,2026-03-17T00:00:00.000Z
Sacramento St,78.1,2025-2026,2026-03-17T00:00:00.000Z
Marist,78.1,2025-2026,2026-03-17T00:00:00.000Z
Indiana,78.0,2025-2026,2026-03-17T00:00:00.000Z
Sacred Heart,78.0,2025-2026,2026-03-17T00:00:00.000Z
N Florida,77.8,2025-2026,2026-03-17T00:00:00.000Z
Ohio St,77.5,2025-2026,2026-03-17T00:00:00.000Z
UCSB,77.5,2025-2026,2026-03-17T00:00:00.000Z
Green Bay,77.5,2025-2026,2026-03-17T00:00:00.000Z
Wake Forest,77.4,2025-2026,2026-03-17T00:00:00.000Z
California,77.4,2025-2026,2026-03-17T00:00:00.000Z
Chattanooga,77.4,2025-2026,2026-03-17T00:00:00.000Z
Montana,77.3,2025-2026,2026-03-17T00:00:00.000Z
Holy Cross,77.2,2025-2026,2026-03-17T00:00:00.000Z
Oregon St,77.2,2025-2026,2026-03-17T00:00:00.000Z
Houston,77.2,2025-2026,2026-03-17T00:00:00.000Z
Denver,77.1,2025-2026,2026-03-17T00:00:00.000Z
Colorado St,77.1,2025-2026,2026-03-17T00:00:00.000Z
Iowa,77.0,2025-2026,2026-03-17T00:00:00.000Z
Louisville,76.9,2025-2026,2026-03-17T00:00:00.000Z
Siena,76.9,2025-2026,2026-03-17T00:00:00.000Z
Bucknell,76.8,2025-2026,2026-03-17T00:00:00.000Z
NC State,76.8,2025-2026,2026-03-17T00:00:00.000Z
C Connecticut,76.7,2025-2026,2026-03-17T00:00:00.000Z
Kansas,76.7,2025-2026,2026-03-17T00:00:00.000Z
Tulane,76.7,2025-2026,2026-03-17T00:00:00.000Z
UCLA,76.7,2025-2026,2026-03-17T00:00:00.000Z
Alabama,76.5,2025-2026,2026-03-17T00:00:00.000Z
UMBC,76.4,2025-2026,2026-03-17T00:00:00.000Z
Washington,76.4,2025-2026,2026-03-17T00:00:00.000Z
LSU,76.4,2025-2026,2026-03-17T00:00:00.000Z
UT Rio Grande,76.3,2025-2026,2026-03-17T00:00:00.000Z
Tennessee St,76.3,2025-2026,2026-03-17T00:00:00.000Z
Michigan St,76.3,2025-2026,2026-03-17T00:00:00.000Z
Tenn Tech,76.2,2025-2026,2026-03-17T00:00:00.000Z
Cleveland St,76.2,2025-2026,2026-03-17T00:00:00.000Z
Texas St,76.2,2025-2026,2026-03-17T00:00:00.000Z
Bryant,76.0,2025-2026,2026-03-17T00:00:00.000Z
Creighton,76.0,2025-2026,2026-03-17T00:00:00.000Z
Hofstra,75.9,2025-2026,2026-03-17T00:00:00.000Z
Yale,75.9,2025-2026,2026-03-17T00:00:00.000Z
Jackson St,75.8,2025-2026,2026-03-17T00:00:00.000Z
American,75.8,2025-2026,2026-03-17T00:00:00.000Z
Pepperdine,75.8,2025-2026,2026-03-17T00:00:00.000Z
N Colorado,75.8,2025-2026,2026-03-17T00:00:00.000Z
Providence,75.7,2025-2026,2026-03-17T00:00:00.000Z
Murray St,75.7,2025-2026,2026-03-17T00:00:00.000Z
Colorado,75.7,2025-2026,2026-03-17T00:00:00.000Z
W Kentucky,75.7,2025-2026,2026-03-17T00:00:00.000Z
AR-Pine Bluff,75.5,2025-2026,2026-03-17T00:00:00.000Z
Pacific,75.5,2025-2026,2026-03-17T00:00:00.000Z
Georgia,75.4,2025-2026,2026-03-17T00:00:00.000Z
Grand Canyon,75.3,2025-2026,2026-03-17T00:00:00.000Z
Arizona St,75.3,2025-2026,2026-03-17T00:00:00.000Z
UC Davis,75.3,2025-2026,2026-03-17T00:00:00.000Z
Texas,75.3,2025-2026,2026-03-17T00:00:00.000Z
Binghamton,75.3,2025-2026,2026-03-17T00:00:00.000Z
Akron,75.3,2025-2026,2026-03-17T00:00:00.000Z
Toledo,75.2,2025-2026,2026-03-17T00:00:00.000Z
Nevada,75.2,2025-2026,2026-03-17T00:00:00.000Z
Prairie View,75.2,2025-2026,2026-03-17T00:00:00.000Z
